Game,Average Frame Rate,Score
1,27.17655897140503,0
2,26.79759513500125,7
3,24.288002193639535,20
4,24.77945167510236,3
5,25.17147306037972,1
6,25.39718850644049,3
7,25.523998258492423,5
8,24.96617938975419,19
9,25.34272695003554,1
10,25.156502747655516,10
11,25.320002899497766,1
12,25.173057832396314,7
