Game,Average Frame Rate,Score
1,69.40808450022051,6
2,65.99110116561253,0
3,65.94522234419702,0
4,61.978314502305714,1
5,55.25922123059675,2
6,47.59030372733989,5
7,39.82907484112684,12
8,38.65657421906595,4
