Game,Average Frame Rate,Score
1,26.54984541106642,5
2,28.216110148899993,1
3,28.643218597563187,2
4,27.370059002212614,6
5,26.46279285659948,7
6,26.31215336396522,4
7,26.782377856228386,1
8,27.212863288274626,1
9,26.642720340766445,10
10,26.537435597712452,4
11,26.60827039574611,2
12,28.507467974787172,14
